STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
CO,8,Logan County,75,8075,2015,22.036,15.52,0,15.52,3.26,0,3.26,0,0,0,3.26,0,3.26,6.516,0.68,0,0.68,104,1.61,104,2.29,0.54,0,0.54,0.01,0,0.01,0.55,0,0.55,59.28,83.84,143.12,0,116.99,82.31,0,20.22,102.53,58.88,83.84,142.72,--,116.81,82.2,0,20.22,102.42,0.4,0,0.4,0,0.18,0.11,0,0,0.11,1.58,0.85,2.43,0,--,0,0.33,--,0.33,0.33,--,0.33,0.1,0.25,0.35,0.09,0,0.09,0.19,0.25,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.44,0.25,65.69,85.12,0,85.12,150.56,0.25,150.81,116.99,0,116.99
KY,21,Carter County,43,21043,2015,27.158,--,--,25.121,0,0,0,4.09,0,4.09,4.09,0,4.09,2.037,0.08,0.02,0.1,49,1.76,70,1.86,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,0.04,0.01,0,0.05,0,0.02,0.02,0,0.02,0.04,0.01,0,0.05,0,0,0,--,0,0,0,0,0,0.01,0.19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.09,0,0.09,4.34,0,4.34,4.43,0,4.43,0.02,0,0.02
NE,31,Platte County,141,31141,2015,32.847,--,--,30.48,4.96,0,4.96,0,0,0,4.96,0,4.96,2.367,0.26,0,0.26,110,1.43,47,1.69,7.86,0,7.86,0,0,0,7.86,0,7.86,121.45,2.59,124.04,--,111.94,196.11,0.09,27.98,224.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.6,0.58,3.18,0,--,0,0,--,0,0,--,0,0,0,0,0.35,0,0.35,0.35,0,0.35,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,137.13,0,137.13,3.52,0,3.52,140.65,0,140.65,111.94,0,111.94
AL,1,Lowndes County,85,1085,2015,10.458,--,--,9.713,0.95,0,0.95,0,0,0,0.95,0,0.95,0.745,0.05,0,0.05,67,0.76,78,0.81,4.24,0,4.24,0,0,0,4.24,0,4.24,0,5.73,5.73,--,5.73,5.1,0,0,5.1,0,5.73,5.73,--,5.73,5.1,0,0,5.1,0,0,0,--,0,0,0,0,0,0.27,0.41,0.68,0.65,0,0.65,0.65,0,0.65,1.3,0,1.3,0.16,0,0.16,0.08,0,0.08,0.24,0,0.24,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,6.32,0,6.32,6.87,0,6.87,13.19,0,13.19,5.73,0,5.73
PA,42,Bradford County,15,42015,2015,61.281,22.05,0,22.05,3.02,0,3.02,0,0,0,3.02,0,3.02,39.231,2.35,0,2.35,60,1.62,73,3.97,3.26,0,3.26,0,0,0,3.26,0,3.26,0.05,0.04,0.09,--,0.08,0.16,0.08,0,0.24,0.03,0.02,0.05,--,0.04,0.07,0.08,0,0.15,0.02,0.02,0.04,--,0.04,0.09,0,0,0.09,0.95,0.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,9.63,0,9.63,0.15,0,0.15,9.78,0,9.78,0.08,0,0.08
CA,6,Trinity County,105,6105,2015,13.069,--,--,7.316,0.05,0,0.05,0.94,0,0.94,0.99,0,0.99,5.753,0.38,0.12,0.5,87,0.64,87,1.14,0.5,0,0.5,0,0,0,0.5,0,0.5,7.55,3.17,10.72,0.01,8.21,2.88,0.1,0,2.98,7.53,3.16,10.69,0,8.19,2.84,0.1,0,2.94,0.02,0.01,0.03,0.01,0.02,0.04,0,0,0.04,0.03,0.05,0.08,0,0,0,9.62,0,9.62,9.62,0,9.62,0.01,0.01,0.02,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0.01,8.53,13.9,0,13.9,22.42,0.01,22.43,8.21,0,8.21
GA,13,Gordon County,129,13129,2015,56.574,14.726,34.632,49.358,4.05,0,4.05,6.38,0,6.38,10.43,0,10.43,7.216,0.54,0,0.54,75,3.94,80,4.48,0,0,0,0,0,0,0,0,0,0.1,1.07,1.17,--,1.17,1.81,0,0,1.81,0.1,0.98,1.08,--,1.08,1.72,0,0,1.72,0,0.09,0.09,--,0.09,0.09,0,0,0.09,0.01,0.98,0.99,0,--,0,0,--,0,0,--,0,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,4.76,0,4.76,8.43,0,8.43,13.19,0,13.19,1.17,0,1.17
VA,51,Suffolk City,800,51800,2015,88.161,0.581,69.481,70.062,11.2,2.72,13.92,30.53,0,30.53,41.73,2.72,44.45,18.099,1.45,0,1.45,80,5.6,80,7.05,0.08,0,0.08,0,0,0,0.08,0,0.08,0.1,0.44,0.54,--,0.45,0.94,0.01,0,0.95,0.04,0.33,0.37,--,0.31,0.4,0.01,0,0.41,0.06,0.11,0.17,--,0.14,0.54,0,0,0.54,0.02,0.02,0.04,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.17,0,0.17,0.22,0,0.22,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,12.9,2.72,15.62,31.16,0,31.16,44.06,2.72,46.78,0.45,0,0.45
IL,17,Bond County,5,17005,2015,16.95,0,15.928,15.928,0.08,0,0.08,1.22,0,1.22,1.3,0,1.3,1.022,0.08,0,0.08,78,1.27,80,1.35,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.02,0,0,0.02,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0.03,0.5,0.53,0.11,0,0.11,0.14,0.5,0.64,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.36,0.5,0.86,1.34,0,1.34,1.7,0.5,2.2,0.01,0,0.01
PR,72,Naranjito Municipio,105,72105,2015,29.181,--,--,29.181,0.61,0,0.61,0.08,0,0.08,0.69,0,0.69,0,0,0,0,N/A,2.68,92,2.68,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0.08,0.08,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.61,0,0.61,0.16,0,0.16,0.77,0,0.77,0,0,0
